company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000560	2024-12-31	3402148 	150000 	1314163 	26181323 	271010 	199343 
C0000560	2023-12-31	2764105 	150000 	1114820 	17352859 	240518 	174775 
C0000560	2022-12-31	2305364 	150000 	940045 	17418066 	231599 	184193 
C0000560	2021-12-31	1902181 	150000 	755852 	16130652 	217764 	191282 
C0000560	2020-12-31	1228628 	150000 	564570 	11363387 	108000 	86594 
C0000561	2023-12-31	765829 	20000 	376222 	13593315 	292722 	269356 
C0000561	2022-12-31	457113 	20000 	106866 	11364432 	73915 	60926 
C0000561	2021-12-31	112794 	20000 	45940 	3136129 	26283 	25940 
C0000562	2024-12-31	10616425 	200000 	4060988 	42326986 	621795 	404391 
C0000562	2023-12-31	10910070 	200000 	4057083 	37678557 	578114 	326132 
C0000562	2022-12-31	10494718 	200000 	3654465 	31334749 	592481 	423384 
C0000562	2021-12-31	9283252 	200000 	3231081 	23802478 	391522 	302080 
C0000562	2020-12-31	8077619 	200000 	2110035 	17121019 	530927 	196547 
C0000337	2024-12-31	53232559 	3250000 	7629792 	21384887 	2538530 	981290 
C0000337	2023-12-31	55487005 	3250000 	6648502 	14604209 	2094744 	473947 
C0000337	2022-12-31	54134489 	3250000 	6174555 	8318146 	1372602 	376740 
C0000337	2021-12-31	48393360 	3250000 	5797815 	7605963 	570957 	291721 
C0000337	2020-12-31	23871643 	2250000 	4511900 	4576634 	339390 	803472 
C0000564	2024-12-31	339649 	50000 	54205 	3293212 	121459 	118837 
C0000564	2023-12-31	344642 	20000 	-94632 	1625037 	40595 	40891 
C0000564	2022-12-31	90908 	20000 	-135522 	1101694 	-45291 	-33191 
C0000564	2021-12-31	120469 	20000 	-102332 	1587992 	-26121 	-26476 
C0000564	2020-12-31	149501 	20000 	-75856 	1994801 	-22716 	-25023 
C0000566	2024-12-31	315757 	50000 	158 	336708 	-48937 	-49842 
C0000568	2024-12-31	17315312 	766670 	2697276 	59432333 	-1813030 	-3812072 
C0000568	2023-12-31	11169738 	766670 	6509347 	38093043 	-3685687 	-3660678 
C0000568	2022-12-31	14757042 	766670 	10170025 	35990924 	-3142980 	-3169403 
C0000568	2021-12-31	7370487 	683335 	3339228 	17599581 	-1539819 	-1589671 
C0000568	2020-12-31	1018081 	600000 	-71201 	1451080 	-669816 	-671201 
C0000342	2023-12-31	647980 	30000 	23794 	1180030 	-15739 	-59945 
C0000342	2022-12-31	901505 	30000 	83739 	599988 	51262 	40668 
C0000342	2021-12-31	190077 	30000 	43070 	209100 	17255 	15875 
C0000342	2020-12-31	57195 	30000 	27195 	0 	-2808 	-2805 
